Catalog Number,Class,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,Species,Subspecies,Author,Year,Country,State,County,Locality,Other Descriptor,Body of Water,Latitude,Longitude,Elevation,GBIF Precision,Collected Beginning,Collected Ending,Collector,Method,Habitat,Identified by,Year Identified,Type,Type Name,Male,Female,Immature,Pupa,Exuvia,Adult,Other,Age Unknown,Preparation,Created,Modified
Trichoptera 32748,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche, , , , , ,United States,Georgia,Bartow,jct with McKaskey Creek, ,Stamp Creek, , , , ,05/02/1948, ,D.C. Scott, , , , , , , ,1, , , , , , ,Vial,1/24/2000 12:00:00 AM,3/29/2012 12:00:00 AM
Trichoptera 32793,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche, , , , , ,United States,Arkansas,Grant,Grant Co., , ,34.30833,-92.40361, ,100000,08/27/1966, , , , , , , , , , , , , ,20, , ,Vial,1/24/2000 12:00:00 AM,3/29/2012 12:00:00 AM
Trichoptera 32632,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,simulans, ,Ross,1938,United States,Illinois,Champaign,Urbana, ,Boneyard Creek,40.11056,-88.20722, ,10000,06/10/1938, ,G.T. Riegel, , ,H.H. Ross,1938, , ,2, , , , , , , ,Vial,1/18/2000 12:00:00 AM,8/25/2011 12:00:00 AM
Trichoptera 32635,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,simulans, ,Ross,1938,United States,Illinois,Livingston,PONTIAC, ,Vermilion River,40.87825,-88.6307, ,1000,08/22/1938, ,H.H. Ross, , ,H.H. Ross,1938, , ,4, , , , , , , ,Vial,1/18/2000 12:00:00 AM,8/25/2011 12:00:00 AM
Trichoptera 33751,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche, , , , , ,United States,Florida,Orange,Rock Springs, , ,28.75611,-81.50167, ,10000,05/07/1944, ,"T.H. Frison, H.H. Ross", , , , , , , ,1, , , , , , ,Vial,1/22/2000 12:00:00 AM,3/29/2012 12:00:00 AM
Trichoptera 33784,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche, , , , , ,United States,South Carolina,Oconee, , ,Little River,34.76402,-83.08834, ,100000,11/14/1973, ,R. Peigler, , , , , , , , ,3, , , , , ,Vial,1/23/2000 12:00:00 AM,3/29/2012 12:00:00 AM
Trichoptera 33767,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche, , , , , ,United States,Arkansas,Fulton,Mammoth Springs, , ,36.49487,-91.53654, ,1000,06/06/1937, ,H.H. Ross, , , , , , ,1, , , , , , , ,Vial,1/23/2000 12:00:00 AM,3/29/2012 12:00:00 AM
Trichoptera 33709,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,simulans, ,Ross,1938,United States,Ohio,Washington,Marietta, ,Ohio River,39.41024,-81.45195, ,10,07/01/1938,07/31/1938,C.R. Neiswander, , , , , , ,2, , , , , , , ,Vial,1/19/2000 12:00:00 AM,3/29/2012 12:00:00 AM
Trichoptera 32639,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,simulans, ,Ross,1938,United States,Kansas,Riley,Manhattan, , ,39.18361,-96.57139, ,10000,06/20/1937, , , , , , , , ,9, , , , , , , ,Vial,1/18/2000 12:00:00 AM,3/29/2012 12:00:00 AM
Trichoptera 32885,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Ceratopsyche,cockerelli, ,N Banks,1905,United States,Colorado,Montrose,Cimarron, ,Cimarron River,38.4425,-107.55611, ,10000,06/08/1954, ,"H.H. Ross, J.A. Ross", , , , , , , , , , , ,50, , ,Vial,1/11/2000 12:00:00 AM,3/29/2012 12:00:00 AM
